date,price(USD)
6/6/2016,1.01
6/7/2016,1
6/8/2016,1.01
6/9/2016,0.994472
6/10/2016,1.11
6/11/2016,1.14
6/12/2016,1.14
6/13/2016,1.25
6/14/2016,1.28
6/15/2016,1.37
6/16/2016,1.47
6/17/2016,1.57
6/18/2016,1.77
6/19/2016,2.03
6/20/2016,1.86
6/21/2016,1.83
6/22/2016,1.61
6/23/2016,1.49
6/24/2016,1.56
6/25/2016,1.58
6/26/2016,1.56
6/27/2016,1.48
6/28/2016,1.48
6/29/2016,1.49
6/30/2016,1.54
7/1/2016,1.59
7/2/2016,1.66
7/3/2016,1.75
7/4/2016,1.7
7/5/2016,1.71
7/6/2016,1.73
7/7/2016,1.94
7/8/2016,1.9
7/9/2016,1.99
7/10/2016,1.96
7/11/2016,1.91
7/12/2016,1.98
7/13/2016,1.98
7/14/2016,1.94
7/15/2016,2.01
7/16/2016,2
7/17/2016,1.98
7/18/2016,1.99
7/19/2016,1.95
7/20/2016,1.9
7/21/2016,1.77
7/22/2016,1.73
7/23/2016,1.83
7/24/2016,1.9
7/25/2016,1.86
7/26/2016,1.85
7/27/2016,1.83
7/28/2016,1.94
7/29/2016,1.85
7/30/2016,1.91
7/31/2016,1.91
8/1/2016,1.82
8/2/2016,1.7
8/3/2016,1.49
8/4/2016,1.57
8/5/2016,1.85
8/6/2016,1.79
8/7/2016,1.88
8/8/2016,1.9
8/9/2016,1.9
8/10/2016,2.05
8/11/2016,2.02
8/12/2016,1.98
8/13/2016,1.95
8/14/2016,1.98
8/15/2016,2.01
8/16/2016,2.18
8/17/2016,2.2
8/18/2016,2.24
8/19/2016,2.19
8/20/2016,2.3
8/21/2016,2.44
8/22/2016,2.53
8/23/2016,4.03
8/24/2016,4.66
8/25/2016,4.46
8/26/2016,4.13
8/27/2016,4.25
8/28/2016,5.3
8/29/2016,9.35
8/30/2016,8.49
8/31/2016,8.51
9/1/2016,8.52
9/2/2016,7.97
9/3/2016,10.19
9/4/2016,11.13
9/5/2016,13.57
9/6/2016,13.84
9/7/2016,12.44
9/8/2016,11.91
9/9/2016,12.71
9/10/2016,12.33
9/11/2016,12.26
9/12/2016,10.66
9/13/2016,10.26
9/14/2016,10.97
9/15/2016,10.53
9/16/2016,9.5
9/17/2016,8.88
9/18/2016,9.69
9/19/2016,9.45
9/20/2016,10.54
9/21/2016,11.25
9/22/2016,9.96
9/23/2016,10.12
9/24/2016,10.8
9/25/2016,10.62
9/26/2016,10.25
9/27/2016,9.36
9/28/2016,9.33
9/29/2016,9.4
9/30/2016,8.65
10/1/2016,8.42
10/2/2016,7.33
10/3/2016,8.31
10/4/2016,7.95
10/5/2016,7.66
10/6/2016,6.71
10/7/2016,7.19
10/8/2016,6.89
10/9/2016,6.9
10/10/2016,7.56
10/11/2016,6.92
10/12/2016,7.28
10/13/2016,7.28
10/14/2016,6.94
10/15/2016,6.92
10/16/2016,6.57
10/17/2016,6.39
10/18/2016,6.29
10/19/2016,6.57
10/20/2016,6.63
10/21/2016,6.59
10/22/2016,6.79
10/23/2016,6.52
10/24/2016,6.51
10/25/2016,6.42
10/26/2016,6.09
10/27/2016,6.17
10/28/2016,6.22
10/29/2016,5.72
10/30/2016,5.14
10/31/2016,5.54
11/1/2016,5.1
11/2/2016,4.73
11/3/2016,4.54
11/4/2016,4.86
11/5/2016,4.83
11/6/2016,4.98
11/7/2016,4.97
11/8/2016,5.77
11/9/2016,6.31
11/10/2016,6.19
11/11/2016,6.15
11/12/2016,6.82
11/13/2016,7.42
11/14/2016,7.11
11/15/2016,7.74
11/16/2016,7.34
11/17/2016,6.55
11/18/2016,6.77
11/19/2016,6.72
11/20/2016,6.56
11/21/2016,6.58
11/22/2016,6.81
11/23/2016,7.66
11/24/2016,7.94
11/25/2016,7.79
11/26/2016,7.55
11/27/2016,7.63
11/28/2016,7.92
11/29/2016,7.91
11/30/2016,7.63
12/1/2016,8.93
12/2/2016,8.5
12/3/2016,8.21
12/4/2016,8.26
12/5/2016,7.83
12/6/2016,7.91
12/7/2016,7.54
12/8/2016,7.87
12/9/2016,7.8
12/10/2016,7.95
12/11/2016,7.77
12/12/2016,7.91
12/13/2016,8.07
12/14/2016,8.23
12/15/2016,8.43
12/16/2016,8.43
12/17/2016,8.48
12/18/2016,8.33
12/19/2016,8.6
12/20/2016,8.63
12/21/2016,8.45
12/22/2016,8.3
12/23/2016,8.89
12/24/2016,9.61
12/25/2016,9.65
12/26/2016,9.72
12/27/2016,10.27
12/28/2016,12.54
12/29/2016,14.14
12/30/2016,13.09
12/31/2016,12.96
1/1/2017,13.79
1/2/2017,14.07
1/3/2017,16.07
1/4/2017,16.14
1/5/2017,18.55
1/6/2017,16.19
1/7/2017,14.09
1/8/2017,13.01
1/9/2017,13.51
1/10/2017,13.7
1/11/2017,13.38
1/12/2017,11.61
1/13/2017,11.84
1/14/2017,11.28
1/15/2017,11.07
1/16/2017,10.77
1/17/2017,10.69
1/18/2017,12.43
1/19/2017,12.05
1/20/2017,12.17
1/21/2017,11.91
1/22/2017,12.01
1/23/2017,12.19
1/24/2017,12.25
1/25/2017,11.81
1/26/2017,11.85
1/27/2017,11.98
1/28/2017,12.12
1/29/2017,12.85
1/30/2017,12.65
1/31/2017,12.7
2/1/2017,12.97
2/2/2017,13.29
2/3/2017,13.13
2/4/2017,12.9
2/5/2017,12.61
2/6/2017,12.83
2/7/2017,12.91
2/8/2017,12.67
2/9/2017,12.83
2/10/2017,12.18
2/11/2017,11.98
2/12/2017,12.27
2/13/2017,12.31
2/14/2017,12.2
2/15/2017,13.01
2/16/2017,13.62
2/17/2017,13.07
2/18/2017,13.41
2/19/2017,13.38
2/20/2017,13.01
2/21/2017,12.12
2/22/2017,12.32
2/23/2017,12.78
2/24/2017,12.89
2/25/2017,11.92
2/26/2017,11.84
2/27/2017,11.87
2/28/2017,11.99
3/1/2017,12.3
3/2/2017,12.26
3/3/2017,13.1
3/4/2017,13.93
3/5/2017,13.67
3/6/2017,15.23
3/7/2017,15.43
3/8/2017,13.56
3/9/2017,12.46
3/10/2017,13.05
3/11/2017,13.12
3/12/2017,14.72
3/13/2017,16.8
3/14/2017,18.09
3/15/2017,17.79
3/16/2017,19.05
3/17/2017,22.57
3/18/2017,22.27
3/19/2017,20.11
3/20/2017,23.3
3/21/2017,22.62
3/22/2017,21.39
3/23/2017,21.45
3/24/2017,21.85
3/25/2017,21.08
3/26/2017,20.16
3/27/2017,19.75
3/28/2017,19.49
3/29/2017,19.88
3/30/2017,21.06
3/31/2017,20.8
4/1/2017,20.52
4/2/2017,21.42
4/3/2017,20.16
4/4/2017,20.33
4/5/2017,21.31
4/6/2017,19.59
4/7/2017,19.32
4/8/2017,19.31
4/9/2017,20.84
4/10/2017,20.69
4/11/2017,21.8
4/12/2017,21.32
4/13/2017,21.69
4/14/2017,21.47
4/15/2017,20.43
4/16/2017,20.71
4/17/2017,20.46
4/18/2017,20.53
4/19/2017,21.07
4/20/2017,20.4
4/21/2017,19.98
4/22/2017,20.27
4/23/2017,20.12
4/24/2017,19.73
4/25/2017,19.6
4/26/2017,19.67
4/27/2017,19.43
4/28/2017,21.2
4/29/2017,22.37
4/30/2017,22.74
5/1/2017,23.72
5/2/2017,22.77
5/3/2017,23.05
5/4/2017,25.19
5/5/2017,26.11
5/6/2017,28.5
5/7/2017,28.97
5/8/2017,33.45
5/9/2017,30.48
5/10/2017,28.49
5/11/2017,29.94
